NOVEMBER,DATE,SLEEP SCORE,HOURS OF SLEEP,REM SLEEP,DEEP SLEEP,HEART RATE BELOW RESTING,SLEEP TIME
,,,,,,,
Monday,11/1/2021,88,8:06:00,20.00%,13.00%,84.00%,10:41pm - 7:54am
Tuesday,11/2/2021,83,7:57:00,12.00%,18.00%,90.00%,10:40pm - 7:55am
Wednesday,11/3/2021,81,7:06:00,13.00%,22.00%,93.00%,11:03pm - 7:16am
Thursday,11/4/2021,86,7:04:00,19.00%,17.00%,97.00%,10:55pm - 6:56am
Friday,11/5/2021,81,9:24:00,17.00%,15.00%,66.00%,10:14pm - 9:01am
Saturday,11/6/2021,77,8:19:00,14.00%,13.00%,21.00%,11:21 - 8:45am
Sunday,11/7/2021,86,7:37:00,20.00%,15.00%,80.00%,11:18pm - 6:57am
Monday,11/8/2021,81,6:46,16%,17.00%,89.00%,11:50pm - 7:40am
Tuesday,11/9/2021,88,7:10:00,24.00%,19.00%,98.00%,11:14pm - 7:16am
Wednesday,11/10/2021,84,7:16:00,21.00%,17.00%,96.00%,11:16pm - 7:29am
Thursday,11/11/2021,85,6:52:00,19.00%,21.00%,97.00%,10:47pm - 6:32am
Friday,11/12/2021,85,7:28:00,18.00%,16.00%,74.00%,10:21pm - 6:47am
Saturday,11/13/2021,74,6:06,16.00%,21.00%,43.00%,11:34pm - 6:51am
Sunday,11/14/2021,88,6:59:00,23.00%,22.00%,91.00%,10:54pm - 6:48am
Monday,11/15/2021,87,7:19:00,21.00%,22.00%,96.00%,10:45pm - 6:57am
Tuesday,11/16/2021,80,7:22:00,17.00%,11.00%,55.00%,11-38pm - 8:23am
Wednesday,11/17/2021,78,6:57:00,15.00%,14.00%,67.00%,11:50pm - 7:50am
Thursday,11/18/2021,87,7:14:00,24.00%,19.00%,98.00%,10:42pm - 6:51am
Friday,11/19/2021,83,6:50:00,20.00%,20.00%,75.00%,10:49pm - 6:37am
Saturday,11/20/2021,86,7:56:00,24.00%,17.00%,63.00%,10:53pm - 7:59am
Sunday,11/21/2021,88,7:33:00,19.00%,16.00%,95.00%,11:13pm - 8:07am
Monday,11/22/2021,87,8:21:00,14.00%,19.00%,94.00%,10:12pm - 7:32am
Tuesday,11/23/2021,86,8:15:00,20.00%,14.00%,72.00%,11:53pm - 9:15am
Wednesday,11/24/2021,77,6:26:00,18.00%,13.00%,55.00%,11:36pm - 7:13am
Thursday,11/25/2021,81,6:51:00,20.00%,17.00%,51.00%,12:50am - 8:27am
Friday,11/26/2021,87,8:45:00,22.00%,19.00%,56.00%,12:53am - 10:35am
Saturday,11/27/2021,86,7:53:00,24.00%,19.00%,66.00%,12:51am - 10:04am
Sunday,11/28/2021,83,6:13:00,22.00%,22.00%,81.00%,12:02am - 6:59am
Monday,11/29/2021,89,7:44:00,18.00%,21.00%,81.00%,11:00pm - 7:38am
Tuesday,11/30/2021,78,6:48:00,12.00%,13.00%,74.00%,11:16pm - 7:06am